Date time,Automatic Weather Station,Air Temperature(degree Celsius)
202308070020,The Peak,26.1
202308070020,The Peak,26.1
202308070020,The Peak,26.1
202308070020,The Peak,26.1
202308070020,The Peak,26.1
202308070020,The Peak,26.1
202308070030,The Peak,26.1
202308070030,The Peak,26.1
202308070030,The Peak,26.1
202308070030,The Peak,26.1
202308070030,The Peak,26.1
202308070030,The Peak,26.1
202308070040,The Peak,26.1
202308070040,The Peak,26.1
202308070040,The Peak,26.1
202308070050,The Peak,26.1
202308070050,The Peak,26.1
202308070050,The Peak,26.1
202308070050,The Peak,26.1
202308070050,The Peak,26.1
202308070050,The Peak,26.1
202308070050,The Peak,26.1
202308070100,The Peak,26.1
202308070100,The Peak,26.1
202308070100,The Peak,26.1
202308070100,The Peak,26.1
202308070100,The Peak,26.1
202308070110,The Peak,26.0
202308070110,The Peak,26.0
202308070110,The Peak,26.0
202308070110,The Peak,26.0
202308070110,The Peak,26.0
202308070120,The Peak,26.0
202308070120,The Peak,26.0
202308070130,The Peak,26.0
202308070130,The Peak,26.0
202308070130,The Peak,26.0
202308070140,The Peak,26.0
202308070140,The Peak,26.0
202308070140,The Peak,26.0
202308070150,The Peak,25.9
202308070150,The Peak,25.9
202308070150,The Peak,25.9
202308070150,The Peak,25.9
202308070150,The Peak,25.9
202308070150,The Peak,25.9
202308070200,The Peak,25.9
202308070200,The Peak,25.9
202308070200,The Peak,25.9
202308070200,The Peak,25.9
202308070200,The Peak,25.9
202308070200,The Peak,25.9
202308070200,The Peak,25.9
202308070210,The Peak,25.8
202308070210,The Peak,25.8
202308070210,The Peak,25.8
202308070210,The Peak,25.8
202308070210,The Peak,25.8
202308070220,The Peak,25.8
202308070220,The Peak,25.8
202308070220,The Peak,25.8
202308070220,The Peak,25.8
202308070220,The Peak,25.8
202308070220,The Peak,25.8
202308070220,The Peak,25.8
202308070220,The Peak,25.8
202308070230,The Peak,25.8
202308070230,The Peak,25.8
202308070230,The Peak,25.8
202308070230,The Peak,25.8
202308070240,The Peak,25.8
202308070240,The Peak,25.8
202308070240,The Peak,25.8
202308070240,The Peak,25.8
202308070250,The Peak,25.8
202308070250,The Peak,25.8
202308070250,The Peak,25.8
202308070250,The Peak,25.8
202308070250,The Peak,25.8
202308070300,The Peak,25.7
202308070300,The Peak,25.7
202308070300,The Peak,25.7
202308070300,The Peak,25.7
202308070300,The Peak,25.7
202308070300,The Peak,25.7
202308070300,The Peak,25.7
202308070310,The Peak,25.6
202308070310,The Peak,25.6
202308070310,The Peak,25.6
202308070320,The Peak,25.6
202308070320,The Peak,25.6
202308070320,The Peak,25.6
202308070320,The Peak,25.6
202308070320,The Peak,25.6
202308070320,The Peak,25.6
202308070330,The Peak,25.6
202308070330,The Peak,25.6
202308070330,The Peak,25.6
202308070340,The Peak,25.6
202308070340,The Peak,25.6
202308070340,The Peak,25.6
202308070340,The Peak,25.6
202308070340,The Peak,25.6
202308070350,The Peak,25.6
202308070350,The Peak,25.6
202308070350,The Peak,25.6
202308070350,The Peak,25.6
202308070350,The Peak,25.6
202308070400,The Peak,25.6
202308070400,The Peak,25.6
202308070400,The Peak,25.6
202308070400,The Peak,25.6
202308070410,The Peak,25.6
202308070410,The Peak,25.6
202308070410,The Peak,25.6
202308070410,The Peak,25.6
202308070410,The Peak,25.6
202308070420,The Peak,25.6
202308070420,The Peak,25.6
202308070420,The Peak,25.6
202308070420,The Peak,25.6
202308070420,The Peak,25.6
202308070430,The Peak,25.6
202308070430,The Peak,25.6
202308070430,The Peak,25.6
202308070430,The Peak,25.6
202308070430,The Peak,25.6
202308070440,The Peak,25.6
202308070440,The Peak,25.6
202308070440,The Peak,25.6
202308070440,The Peak,25.6
202308070440,The Peak,25.6
202308070450,The Peak,25.6
202308070450,The Peak,25.6
202308070450,The Peak,25.6
202308070450,The Peak,25.6
202308070450,The Peak,25.6
202308070450,The Peak,25.6
202308070450,The Peak,25.6
202308070500,The Peak,25.6
202308070500,The Peak,25.6
202308070500,The Peak,25.6
202308070500,The Peak,25.6
202308070510,The Peak,25.6
202308070510,The Peak,25.6
202308070510,The Peak,25.6
202308070510,The Peak,25.6
202308070510,The Peak,25.6
202308070510,The Peak,25.6
202308070510,The Peak,25.6
202308070520,The Peak,25.6
202308070520,The Peak,25.6
202308070520,The Peak,25.6
202308070520,The Peak,25.6
202308070530,The Peak,25.5
202308070530,The Peak,25.5
202308070530,The Peak,25.5
202308070530,The Peak,25.5
202308070530,The Peak,25.5
202308070540,The Peak,25.5
202308070540,The Peak,25.5
202308070540,The Peak,25.5
202308070540,The Peak,25.5
202308070540,The Peak,25.5
202308070540,The Peak,25.5
202308070540,The Peak,25.5
202308070550,The Peak,25.5
202308070550,The Peak,25.5
202308070550,The Peak,25.5
202308070550,The Peak,25.5
202308070550,The Peak,25.5
202308070600,The Peak,25.5
202308070600,The Peak,25.5
202308070600,The Peak,25.5
202308070600,The Peak,25.5
202308070610,The Peak,25.5
202308070610,The Peak,25.5
202308070610,The Peak,25.5
202308070610,The Peak,25.5
202308070610,The Peak,25.5
202308070610,The Peak,25.5
202308070620,The Peak,25.4
202308070620,The Peak,25.4
202308070620,The Peak,25.4
202308070630,The Peak,25.6
202308070630,The Peak,25.6
202308070630,The Peak,25.6
202308070630,The Peak,25.6
202308070640,The Peak,25.6
202308070640,The Peak,25.6
202308070640,The Peak,25.6
202308070640,The Peak,25.6
202308070650,The Peak,25.8
202308070650,The Peak,25.8
202308070650,The Peak,25.8
202308070650,The Peak,25.8
202308070650,The Peak,25.8
202308070700,The Peak,25.9
202308070700,The Peak,25.9
202308070700,The Peak,25.9
202308070700,The Peak,25.9
202308070700,The Peak,25.9
202308070710,The Peak,25.9
202308070710,The Peak,25.9
202308070710,The Peak,25.9
202308070710,The Peak,25.9
202308070710,The Peak,25.9
202308070710,The Peak,25.9
202308070720,The Peak,26.0
202308070720,The Peak,26.0
202308070720,The Peak,26.0
202308070720,The Peak,26.0
202308070720,The Peak,26.0
202308070730,The Peak,26.0
202308070730,The Peak,26.0
202308070730,The Peak,26.0
202308070730,The Peak,26.0
202308070730,The Peak,26.0
202308070730,The Peak,26.0
202308070740,The Peak,26.0
202308070740,The Peak,26.0
202308070740,The Peak,26.0
202308070740,The Peak,26.0
202308070750,The Peak,26.1
202308070750,The Peak,26.1
202308070750,The Peak,26.1
202308070750,The Peak,26.1
202308070800,The Peak,26.4
202308070800,The Peak,26.4
202308070800,The Peak,26.4
202308070800,The Peak,26.4
202308070800,The Peak,26.4
202308070800,The Peak,26.4
202308070800,The Peak,26.4
202308070810,The Peak,26.2
202308070810,The Peak,26.2
202308070810,The Peak,26.2
202308070810,The Peak,26.2
202308070810,The Peak,26.2
202308070820,The Peak,26.3
202308070820,The Peak,26.3
202308070820,The Peak,26.3
202308070820,The Peak,26.3
202308070820,The Peak,26.3
202308070830,The Peak,26.1
202308070830,The Peak,26.1
202308070830,The Peak,26.1
202308070830,The Peak,26.1
202308070840,The Peak,26.8
202308070840,The Peak,26.8
202308070840,The Peak,26.8
202308070840,The Peak,26.8
202308070850,The Peak,27.7
202308070850,The Peak,27.7
202308070850,The Peak,27.7
202308070850,The Peak,27.7
202308070850,The Peak,27.7
202308070850,The Peak,27.7
202308070900,The Peak,28.1
202308070900,The Peak,28.1
202308070900,The Peak,28.1
202308070900,The Peak,28.1
202308070900,The Peak,28.1
202308070910,The Peak,28.3
202308070910,The Peak,28.3
202308070910,The Peak,28.3
