Date time,Automatic Weather Station,Maximum Air Temperature Since Midnight(degree Celsius),Minimum Air Temperature Since Midnight(degree Celsius),Air Temperature(degree Celsius)
437577718,The Peak,13.6,12.4,13.0
437577728,The Peak,13.6,12.4,13.0
437577738,The Peak,13.6,12.4,13.0
437577788,The Peak,13.6,12.4,13.0
437577798,The Peak,13.6,12.4,13.0
437577808,The Peak,13.6,12.4,13.0
437577818,The Peak,13.6,12.4,13.0
437577828,The Peak,13.6,12.4,13.0
437577838,The Peak,13.6,12.3,12.95
437577888,The Peak,13.6,12.3,12.95
437577898,The Peak,13.6,12.2,12.899999999999999
437577908,The Peak,13.6,12.1,12.85
437577918,The Peak,13.6,12.1,12.85
437577928,The Peak,13.6,12.1,12.85
437577938,The Peak,13.6,12.1,12.85
437577988,The Peak,13.6,12.1,12.85
437577998,The Peak,13.6,12.1,12.85
437578008,The Peak,13.6,12.1,12.85
437578018,The Peak,13.6,12.1,12.85
437578028,The Peak,13.6,12.1,12.85
437578038,The Peak,13.6,12.1,12.85
437578088,The Peak,13.6,12.1,12.85
437578098,The Peak,13.6,12.1,12.85
437578108,The Peak,13.6,12.1,12.85
437578118,The Peak,13.6,12.1,12.85
437578128,The Peak,13.7,12.1,12.899999999999999
437578138,The Peak,13.9,12.1,13.0
437578188,The Peak,14.0,12.1,13.05
437578198,The Peak,14.3,12.1,13.2
437578208,The Peak,14.9,12.1,13.5
437578218,The Peak,14.9,12.1,13.5
437578228,The Peak,15.1,12.1,13.6
437578238,The Peak,15.5,12.1,13.8
437578288,The Peak,15.8,12.1,13.95
437578298,The Peak,16.1,12.1,14.100000000000001
437578308,The Peak,16.1,12.1,14.100000000000001
437578318,The Peak,16.7,12.1,14.399999999999999
437578328,The Peak,16.9,12.1,14.5
437578338,The Peak,16.9,12.1,14.5
437578388,The Peak,17.2,12.1,14.649999999999999
437578398,The Peak,17.4,12.1,14.75
437578408,The Peak,17.4,12.1,14.75
437578418,The Peak,17.4,12.1,14.75
437578428,The Peak,17.5,12.1,14.8
437578438,The Peak,17.5,12.1,14.8
437578488,The Peak,17.5,12.1,14.8
437578498,The Peak,17.5,12.1,14.8
437578508,The Peak,17.5,12.1,14.8
437578518,The Peak,17.5,12.1,14.8
437578528,The Peak,17.5,12.1,14.8
437578538,The Peak,17.5,12.1,14.8
437578588,The Peak,17.5,12.1,14.8
437578598,The Peak,17.5,12.1,14.8
437578608,The Peak,17.5,12.1,14.8
437578618,The Peak,17.5,12.1,14.8
437578628,The Peak,17.5,12.1,14.8
437578638,The Peak,17.5,12.1,14.8
437578688,The Peak,17.5,12.1,14.8
437578698,The Peak,17.5,12.1,14.8
437578708,The Peak,17.5,12.1,14.8
437578718,The Peak,17.5,12.1,14.8
437578728,The Peak,17.5,12.1,14.8
437578738,The Peak,17.5,12.1,14.8
437578788,The Peak,17.5,12.1,14.8
437578798,The Peak,17.5,12.1,14.8
437578808,The Peak,17.5,12.1,14.8
437578818,The Peak,17.5,12.1,14.8
437578828,The Peak,17.5,12.1,14.8
437578838,The Peak,17.5,12.1,14.8
437578888,The Peak,17.5,12.1,14.8
437578898,The Peak,17.5,12.1,14.8
437578908,The Peak,17.5,12.1,14.8
437578918,The Peak,17.5,12.1,14.8
437578928,The Peak,17.5,12.1,14.8
437578938,The Peak,17.5,12.1,14.8
437578988,The Peak,17.5,12.1,14.8
437578998,The Peak,17.5,12.1,14.8
437579008,The Peak,17.5,12.1,14.8
437579018,The Peak,17.5,12.1,14.8
437579028,The Peak,17.5,12.1,14.8
437579038,The Peak,17.5,12.1,14.8
437579088,The Peak,17.5,12.1,14.8
437579098,The Peak,17.5,12.1,14.8
437579108,The Peak,17.5,12.1,14.8
437579118,The Peak,17.5,12.1,14.8
437579128,The Peak,17.5,12.1,14.8
437579138,The Peak,17.5,12.1,14.8
437579188,The Peak,17.5,12.1,14.8
437579198,The Peak,17.5,12.1,14.8
437579208,The Peak,17.5,12.1,14.8
437579218,The Peak,17.5,12.1,14.8
437579228,The Peak,17.5,12.1,14.8
437579238,The Peak,17.5,12.1,14.8
437579288,The Peak,17.5,12.1,14.8
437579298,The Peak,17.5,12.1,14.8
437579308,The Peak,17.5,12.1,14.8
437579318,The Peak,17.5,12.1,14.8
437579328,The Peak,17.5,12.1,14.8
437579338,The Peak,17.5,12.1,14.8
437579388,The Peak,17.5,12.1,14.8
437579398,The Peak,17.5,12.1,14.8
437579408,The Peak,17.5,12.1,14.8
437579418,The Peak,17.5,12.1,14.8
437579438,The Peak,17.5,12.1,14.8
437587088,The Peak,17.5,12.1,14.8
437587098,The Peak,13.6,13.6,13.6
437587108,The Peak,13.7,13.6,13.649999999999999
437587118,The Peak,13.7,13.6,13.649999999999999
437587128,The Peak,13.7,13.6,13.649999999999999
437587138,The Peak,13.7,13.6,13.649999999999999
437587188,The Peak,13.7,13.6,13.649999999999999
437587198,The Peak,13.7,13.6,13.649999999999999
437587208,The Peak,13.7,13.6,13.649999999999999
437587218,The Peak,13.7,13.5,13.6
437587228,The Peak,13.7,13.5,13.6
437587238,The Peak,13.7,13.5,13.6
437587288,The Peak,13.7,13.5,13.6
437587298,The Peak,13.7,13.5,13.6
437587308,The Peak,13.7,13.5,13.6
437587318,The Peak,13.7,13.5,13.6
437587328,The Peak,13.7,13.5,13.6
437587338,The Peak,13.7,13.5,13.6
437587388,The Peak,13.7,13.5,13.6
437587398,The Peak,13.7,13.5,13.6
437587408,The Peak,13.7,13.4,13.55
437587418,The Peak,13.7,13.4,13.55
437587428,The Peak,13.7,13.4,13.55
